setting,clahe,clip,tile,precision,recall,f1,mae
off,off,,,0.8361,0.3187,0.4615,24.75
clip=1.0 tile=4,on,1.0,4,0.84,0.2625,0.4,27.5
clip=1.0 tile=8,on,1.0,8,0.8431,0.2687,0.4076,27.25
clip=1.0 tile=16,on,1.0,16,0.88,0.275,0.419,27.5
clip=2.0 tile=4,on,2.0,4,0.8667,0.2437,0.3805,28.75
clip=2.0 tile=8,on,2.0,8,0.8333,0.25,0.3846,28.0
clip=2.0 tile=16,on,2.0,16,0.8519,0.2875,0.4299,26.5
clip=4.0 tile=4,on,4.0,4,0.9048,0.2375,0.3762,29.5
clip=4.0 tile=8,on,4.0,8,0.8444,0.2375,0.3707,28.75
clip=4.0 tile=16,on,4.0,16,0.8776,0.2687,0.4115,27.75
