threshold,modality,precision,recall,f1,mae
0.05,rgb,0.4685,0.962,0.6301,69.25
0.05,thermal,0.5749,0.7438,0.6485,20.75
0.075,rgb,0.5411,0.9506,0.6897,49.75
0.075,thermal,0.6646,0.6813,0.6728,11.5
0.1,rgb,0.6118,0.9468,0.7433,36.0
0.1,thermal,0.6846,0.5563,0.6138,7.5
0.15,rgb,0.673,0.9392,0.7841,26.0
0.15,thermal,0.7609,0.4375,0.5556,17.0
0.2,rgb,0.7217,0.8973,0.8,16.0
0.2,thermal,0.8281,0.3312,0.4732,24.0
0.25,rgb,0.7641,0.8745,0.8156,9.5
0.25,thermal,0.8627,0.275,0.4171,27.25
0.3,rgb,0.7893,0.8403,0.814,4.75
0.3,thermal,0.9268,0.2375,0.3781,29.75
0.35,rgb,0.8084,0.8023,0.8053,6.5
0.35,thermal,0.9412,0.2,0.3299,31.5
