threshold,modality,precision,recall,f1,mae
0.05,rgb,0.6914,0.9202,0.7896,21.75
0.05,thermal,0.6974,0.6625,0.6795,10.0
0.075,rgb,0.7477,0.9125,0.8219,14.5
0.075,thermal,0.7185,0.6062,0.6576,7.75
0.1,rgb,0.7933,0.9049,0.8455,9.25
0.1,thermal,0.7321,0.5125,0.6029,12.0
0.15,rgb,0.8434,0.9011,0.8713,4.5
0.15,thermal,0.7765,0.4125,0.5388,18.75
0.2,rgb,0.876,0.8593,0.8676,2.75
0.2,thermal,0.8361,0.3187,0.4615,24.75
0.25,rgb,0.917,0.8403,0.877,5.5
0.25,thermal,0.86,0.2687,0.4095,27.5
0.3,rgb,0.9342,0.8099,0.8676,8.75
0.3,thermal,0.9268,0.2375,0.3781,29.75
0.35,rgb,0.9315,0.7757,0.8465,11.0
0.35,thermal,0.9412,0.2,0.3299,31.5
